,Picture,Title,Venue,Time,Price
11,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01VYzQFs2GdSM4GkbgQ_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 音乐剧《伪装者》,上海 | 上海大剧院-大剧场,2021.11.24-11.27,180-980             元
12,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01L0wv452GdSLtAWD3u_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 舞台喜剧《惊梦》,上海 | 上海大剧院-大剧场,2021.11.18-11.21,180-1080             元
13,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01PZA5Sf2GdSLTLVGUf_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 原创音乐剧《赵氏孤儿》,上海 | 上汽上海文化广场,2021.10.27-10.31,80-1080             元
14,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01o0VdFP2GdSLoEpAHl_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 染空间中文原创音乐剧《人间失格》,上海 | 上海大剧院-大剧场,2021.12.10-12.17,180-1080             元
15,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN011odYml2GdSLcDTrxE_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 话剧《莎士比亚的罗朱》中文版,上海 | 上剧场,2021.12.02-12.12,280-580             元
16,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01E3CKCJ2GdSLiKkqV5_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 开心麻花摇滚喜剧《牢友记》,上海 | 人民大舞台,2021.10.26-11.07,80-1180             元
17,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01kPfINO2GdSLubuebl_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 话剧《红楼梦》,上海 | 上汽上海文化广场,2021.12.25-12.26,280-1580             元
18,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01Iwimjz2GdSI8xN273_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 开心麻花爆笑舞台剧《瞎画艺术家》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.22-10.24,100-580             元
19,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/i4/2251059038/O1CN014jbAQG2GdSLv4zwT7_!!2-item_pic.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 毛猛达、沈荣海倾情呈现 独脚戏《石库门的笑声》,上海 | 上海天蟾逸夫舞台,2021.11.20-11.21,120-580             元
20,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01xwULyP2GdSLeYU5Px_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 悬疑喜剧《低智商犯罪》,上海 | 美琪大戏院,2021.12.30-2022.01.02,180-580             元
